"","Region","Country","MMRatio","Death","SKP","ACC","HE","BDSR","BDSU","lon","lat"
"1","Africa","Algeria",140,1300,96.6,67.3,7.1,89,95,3,28
"2","Africa","Angola",477,5400,46.6,61.4,2.9,23,63,18.5,-12.5
"3","Africa","Benin",405,1600,77.2,58.7,4,60,77,2.25,9.5
"4","Africa","Botswana",129,72,99.7,73.3,6,58,95,24,-22
"5","Africa","Burkina Faso",371,2700,79.8,47.2,5.4,43,79,-2,13
"6","Africa","Burundi",712,3500,85.1,49.3,8.2,52,88,30,-3.5
"7","Africa","Ivory Coast",645,5400,73.7,44.2,5.4,54,89,-5,8
"8","Africa","Cabo Verde",42,5,91.4,NA,4.8,74,93,-24,16
"9","Africa","Cameroon",596,5100,64.7,58.8,5.1,43,84,12,6
"10","Africa","Central African Republic",882,1400,40,38.1,4.8,41,74,21,7
"11","Africa","Chad",856,5400,20.2,31,4.6,32,78,19,15
"12","Africa","Comoros",335,88,82.2,48.9,8,80,93,44.44553,-12.23333
"13","Africa","Congo",442,740,91.2,79,3.4,37,85,25,0
"14","Africa","Democratic Republic of the Congo",693,22000,80.1,48,4.3,21,70,25,0
"15","Africa","Equatorial Guinea",342,100,68.3,66.9,2.7,31,78,10.5,1.7
"16","Africa","Eritrea",501,880,34.1,57.4,3.3,6,66,39,15
"17","Africa","Eswatini",389,150,88.3,76.1,7,60,95,NA,NA
"18","Africa","Ethiopia",353,11000,27.7,31.8,4,30,77,38,8
"19","Africa","Gabon",291,150,89.3,77.6,2.7,59,92,11.75,-1
"20","Africa","Gambia",706,590,57.2,77.6,6.7,68,88,-15.5,13.5
"21","Africa","Ghana",319,2800,70.8,87.3,5.9,66,88,-1.2,8.1
"22","Africa","Guinea",679,3100,72.4,56.6,4.5,55,88,-10,11
"23","Africa","Guinea-Bissau",549,370,45,64.9,6.9,54,85,-15,12
"24","Africa","Kenya",510,8000,61.8,57.6,5.2,50,83,38,1
"25","Africa","Lesotho",487,300,77.9,74.4,8.4,66,87,28.25,-29.5
"26","Africa","Liberia",725,1100,61.1,78.1,15.2,60,80,-9.5,6.5
"27","Africa","Madagascar",353,2900,44.3,51.1,5.2,34,82,47,-20
"28","Africa","Malawi",634,4200,89.8,50.6,9.3,63,87,34,-13.5
"29","Africa","Mali",587,4400,43.7,38,5.8,63,91,-2,18
"30","Africa","Mauritania",602,810,69.3,63,4.6,45,86,-12,20
"31","Africa","Mauritius",53,7,99.8,NA,5.5,100,100,57.58333,-20.3
"32","Africa","Mozambique",489,5300,54.3,50.6,5.4,32,79,35,-18.25
"33","Africa","Namibia",265,190,88.2,62.5,8.9,63,97,17,-22
"34","Africa","Niger",553,5400,39.7,38.5,7.2,36,89,9,18
"35","Africa","Nigeria",814,58000,43,51.1,3.6,54,82,8,10
"36","Africa","Rwanda",290,1100,90.7,43.9,7.9,49,77,30,-2
"37","Africa","Sao Tome and Principe",156,10,92.5,83.6,9.8,74,83,7,1
"38","Africa","Senegal",315,1800,58.6,53.8,4,63,91,-14,14
"39","Africa","Sierra Leone",1360,3100,59.7,76,18.3,47,75,-11.5,8.5
"40","Africa","South Africa",138,1500,96.7,75.5,8.2,63,97,24,-29
"41","Africa","South Sudan",789,3500,19.4,17,2.5,48,60,30,7.5
"42","Africa","Togo",368,940,44.6,57.2,6.6,45,90,1.16667,8
"43","Africa","Uganda",343,5700,74.2,59.9,7.3,32,73,33,2
"44","Africa","United Republic of Tanzania",398,8200,63.5,50.6,6.1,37,79,35,-6
"45","Africa","Zambia",224,1400,63.3,55.5,5.4,44,86,30,-15
"46","Africa","Zimbabwe",443,2400,78.1,75.7,10.3,54,94,29,-19
"47","Americas","Argentina",52,390,99.6,89.8,6.8,100,100,-64,-34
"48","Americas","Bahamas",80,5,99.6,83.1,7.4,0,0,-77.37122,25.04082
"49","Americas","Barbados",27,1,99,97,7.5,0,0,-59.53333,13.16667
"50","Americas","Belize",28,2,96.8,92.6,6.2,96,99,-88.75,17.25
"51","Americas","Bolivia (Plurinational State of)",206,520,89.8,85.6,6.4,79,99,-65,-17
"52","Americas","Brazil",44,1300,99.1,90.9,8.9,87,99,-55,-10
"53","Americas","Canada",7,27,97.9,98.9,10.4,0,0,-113.64258,60.10867
"54","Americas","Chile",22,52,99.7,NA,8.1,100,100,-71,-30
"55","Americas","Colombia",64,480,95.9,89.9,6.2,86,100,-72,4
"56","Americas","Costa Rica",25,18,90,97.6,8.1,100,100,-84,10
