Region,Country,Maternal Mortality Ratio,Number of maternal deaths,Skilled health personnel %,Antenatal care coverage %,Health expenditure %,Basic drinking service % - Rural,Basic drinking service % - Urban
Africa,Algeria,140,1300,96.6,67.3,7.1,89,95
Africa,Angola,477,5400,46.6,61.4,2.9,23,63
Africa,Benin,405,1600,77.2,58.7,4,60,77
Africa,Botswana,129,72,99.7,73.3,6,58,95
Africa,Burkina Faso,371,2700,79.8,47.2,5.4,43,79
Africa,Burundi,712,3500,85.1,49.3,8.2,52,88
Africa,Côte d'Ivoire,645,5400,73.7,44.2,5.4,54,89
Africa,Cabo Verde,42,5,91.4,#N/A,4.8,74,93
Africa,Cameroon,596,5100,64.7,58.8,5.1,43,84
Africa,Central African Republic,882,1400,40,38.1,4.8,41,74
Africa,Chad,856,5400,20.2,31,4.6,32,78
Africa,Comoros,335,88,82.2,48.9,8,80,93
Africa,Congo,442,740,91.2,79,3.4,37,85
Africa,Democratic Republic of the Congo,693,22000,80.1,48,4.3,21,70
Africa,Equatorial Guinea,342,100,68.3,66.9,2.7,31,78
Africa,Eritrea,501,880,34.1,57.4,3.3,6,66
Africa,Eswatini,389,150,88.3,76.1,7,60,95
Africa,Ethiopia,353,11000,27.7,31.8,4,30,77
Africa,Gabon,291,150,89.3,77.6,2.7,59,92
Africa,Gambia,706,590,57.2,77.6,6.7,68,88
Africa,Ghana,319,2800,70.8,87.3,5.9,66,88
Africa,Guinea,679,3100,72.4,56.6,4.5,55,88
Africa,Guinea-Bissau,549,370,45,64.9,6.9,54,85
Africa,Kenya,510,8000,61.8,57.6,5.2,50,83
Africa,Lesotho,487,300,77.9,74.4,8.4,66,87
Africa,Liberia,725,1100,61.1,78.1,15.2,60,80
Africa,Madagascar,353,2900,44.3,51.1,5.2,34,82
Africa,Malawi,634,4200,89.8,50.6,9.3,63,87
Africa,Mali,587,4400,43.7,38,5.8,63,91
Africa,Mauritania,602,810,69.3,63,4.6,45,86
Africa,Mauritius,53,7,99.8,#N/A,5.5,100,100
Africa,Mozambique,489,5300,54.3,50.6,5.4,32,79
Africa,Namibia,265,190,88.2,62.5,8.9,63,97
Africa,Niger,553,5400,39.7,38.5,7.2,36,89
Africa,Nigeria,814,58000,43,51.1,3.6,54,82
Africa,Rwanda,290,1100,90.7,43.9,7.9,49,77
Africa,Sao Tome and Principe,156,10,92.5,83.6,9.8,74,83
Africa,Senegal,315,1800,58.6,53.8,4,63,91
